productos;kilos;valor
"LAS DEMAS,PREPARACIONES DE PERFUMERIA,DE TOCADOR O DE COSMETICA,NO EXPRESADOS NI COMPRENDIDAS EN OTRA PARTE;DESODORANTES DE LOCALES,INCLUSO SIN PERFUMAR,AUNQUE TENGAN PROPIEDADES DESINFECTANTES";1331331;6324922
LOS DEMAS  NEUMATICOS (LLANTAS NEUMATICAS) NUEVOS DE CAUCHO DE LOS TIPOS UTILIZADOS EN AUTOBUSES O CAMINONES;1310381;20539294
PAPEL HIGIENICO;1306354;9782827
VEHICULOS AUTOMOVILES PARA TRASNPORTE DE MERCANCIAS CON MOTOR DE EMBOLO (PISTON), DE ENCENDIDO POR COMPRESION (DIESEL O SEMI -DIESEL), DE PESO TOTAL CON CARGA MAXIMA, SUPERIOR A 9,3 T;1303604;35340098
VENTILADORAS DE MESA,PIE,PARED,CIELO RASO,TECHO O VENTANA,CON MOTOR ELECTRICO INCORPORADO DE POTENCIA INFERIOR O IGUAL A 125 W;1294094;14822982
ARTICULOS PARA FUEGOS ARTIFICIALES;1283963;17724945
LAS DEMAS PARTES DE MAQUINAS O APARATOS DE LAS PARTIDAS Nos 84.26, 84.29 U 84.30;1281421;35849445
LAS DEMAS CONSTRUCCIONES Y SUS PARTES PREPARADOS PARA LA COSTRUCCION,DE ALUMINIO;1279529;15246133
PERFILES DE ACEROS ALEADOS O SIN ALEAR;1263240;4746285
LAS DEMAS MAQUINAS Y APARATOS CON EQUIPO DE ENFRIAMIENTO INFERIOR O IGUAL A 30000 BTU/HORA Y VALVULA DE INVERSION DEL CICLO TERMICO;1258996;37549041
LAS DEMAS MAQUINAS DE COSER;1234684;18143109
APARATOS PARA FILTRAR LUBRICANTES O CARBURANTES EN LOS MOTORES DE ENCENDIDO POR CHISPA O COMPRESION;1233685;22698844
UREA , INCLUSO EN DISOLUCION ACUOSA CON UN PORCENTAJE DE NITROGENO SUPERIOR O IGUAL A 45% PERO INFERIOR O IGUAL A  46% EN PESO (CALIDAD FERTILIZANTE);1214410;3070718
PLACAS Y BALDOSAS, PARA PAVIMENTACION O REVESTIMIENTO, EXCEPTO LAS DE LAS SUBPARTIDAS 6907.30 Y 6907.40, CON UN COEFICIENTE DE ABSORCION DE AGUA SUPERIOR AL 0,5% PERO INFERIOR O IGUAL AL 10% EN PESO,;1206399;2103502
LOS DEMAS TEJIDOS CON UN CONTENIDO DE FILAMENTOS DE POLIESTER TEXTURADOS SUP.O IGUAL AL 85% EN PESO,TEÑIDOS;1177840;15128755
LOS DEMAS TELAS IMPREGNADAS,RECUBIERTAS,REVESTIDAS O ESTRATIFICADAS CON PLASTICO,(EXCEPTO LAS DE LA PARTIDA No 59.02);1166949;10571201
MUEBLES DE PLASTICO;1164899;11313959
FREGADEROS(PILETAS DE LAVAR),LAVABOS,PEDESTALES DE LAVABO,BAÑERAS,BIDES,INODOROS,CISTERNAS(DEPOSITOS DE AGUA)PARA INODOROS,URINARIOS Y APARATOS FIJOS SIMIL.DE PORCELANA,PARA USOS SANITARIOS;1161144;8264182
CALZADO DE TENIS, BALONCESTO, GIMNASIA, ENTRENAMIENTO Y CALZADOS SIMILARES;1154737;61429159
LOS DEMAS ASCENSORES Y MONTACARGAS;1141523;21214136
ARTICULOS PARA FIESTAS DE NAVIDAD;1128923;16724158
LAS DEMAS PLACAS,LAMINAS,HOJAS Y TIRAS,DE PRODUCTOS CELULARES,DE POLIMEROS DE CLORURO DE VINILO;1113477;7391919
LOS DEMAS MUEBLES DE METAL;1108064;14796331
PRODUCTOS LAMINADOS PLANOS DE HIERRO O ACERO SIN ALEAR,DE ANCHURA INF.A 600 mm,CINCADOS ELECTROLITICAMENTE;1102890;3849047
LAS DEMAS PREPARACIONES DE CONFITURAS,JALEAS Y MERMELADAS DE LOS DEMAS FRUTOS,OBTENIDOS POR COCCION INCLUSO CON ADICION DE AZUCAR U OTRO EDULCORANTE;1095538;3406356
LOS DEMAS CONDUCTORES ELECTRICOS PARA TENSION INFERIOR O IGUAL A 80 V;1092333;17973773
LAS DEMAS GUARNICIONES,HERRAJES Y ARTICULOS SIMILARES PARA MUEBLES DE METAL COMUN;1091076;12903083
LOS DEMAS ALTAVOCES (ALTOPARLANTES),INCLUSO MONTADOS EN SUS CAJAS;1090264;14765459
